City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Bluff,NZ,-46.6,168.3333,55.8,54,2,15.68,clear sky,2022-02-26 05:19:45
1,Olafsvik,IS,64.8945,-23.7142,37.02,78,100,37.33,overcast clouds,2022-02-26 05:20:14
2,Geraldton,AU,-28.7667,114.6,81.01,61,13,17.27,few clouds,2022-02-26 05:21:14
3,Mackay,AU,-21.15,149.2,87.04,78,38,12.15,light rain,2022-02-26 05:20:04
4,Vardo,NO,70.3705,31.1107,24.4,56,94,12.5,overcast clouds,2022-02-26 05:21:18
5,Tasiilaq,GL,65.6145,-37.6368,24.17,60,100,53.17,overcast clouds,2022-02-26 05:19:35
6,Mar Del Plata,AR,-38.0023,-57.5575,66.87,71,0,3.44,clear sky,2022-02-26 05:20:35
7,Luderitz,NA,-26.6481,15.1594,65.23,85,0,13.49,clear sky,2022-02-26 05:21:06
8,Mataura,NZ,-46.1927,168.8643,55.47,43,4,7.7,clear sky,2022-02-26 05:19:29
9,Tricase,IT,39.9304,18.3553,36.75,70,94,4.85,overcast clouds,2022-02-26 05:25:32
10,Sabang,ID,5.8933,95.3214,79.99,82,88,22.7,overcast clouds,2022-02-26 05:25:32
11,Bredasdorp,ZA,-34.5322,20.0403,66.27,88,24,4.61,few clouds,2022-02-26 05:20:03
12,Albany,US,42.6001,-73.9662,13.95,71,71,4.43,broken clouds,2022-02-26 05:17:47
13,Cape Town,ZA,-33.9258,18.4232,67.12,86,0,13.8,clear sky,2022-02-26 05:19:48
14,Salinopolis,BR,-0.6136,-47.3561,78.73,87,98,10.87,overcast clouds,2022-02-26 05:25:33
15,Sakete,BJ,6.7362,2.6587,79.74,94,5,2.48,clear sky,2022-02-26 05:25:33
16,Tazovskiy,RU,67.4667,78.7,6.01,95,95,9.62,overcast clouds,2022-02-26 05:25:34
17,Chuy,UY,-33.6971,-53.4616,65.44,91,0,5.77,moderate rain,2022-02-26 05:20:10
18,Qaanaaq,GL,77.484,-69.3632,0.46,55,10,9.69,clear sky,2022-02-26 05:20:03
19,Klembivka,UA,48.3904,28.4109,36.54,75,100,9.48,overcast clouds,2022-02-26 05:25:34
20,Cherskiy,RU,68.75,161.3,-6.79,98,99,7.2,overcast clouds,2022-02-26 05:21:53
21,Atambua,ID,-9.1061,124.8925,76.84,84,100,8.77,overcast clouds,2022-02-26 05:20:10
22,Busselton,AU,-33.65,115.3333,80.71,46,23,15.12,few clouds,2022-02-26 05:20:04
23,Port Elizabeth,ZA,-33.918,25.5701,70.11,83,20,9.22,few clouds,2022-02-26 05:19:30
24,Padang,ID,-0.9492,100.3543,86.05,64,76,6.67,broken clouds,2022-02-26 05:19:45
25,Kodiak,US,57.79,-152.4072,38.71,81,75,13.8,broken clouds,2022-02-26 05:20:07
26,Kaitangata,NZ,-46.2817,169.8464,55.92,52,6,13.11,clear sky,2022-02-26 05:19:49
27,San Cristobal,VE,7.7669,-72.225,68.18,95,80,2.17,broken clouds,2022-02-26 05:22:25
28,Banda Aceh,ID,5.5577,95.3222,84.11,69,92,15.75,overcast clouds,2022-02-26 05:25:02
29,Codrington,AU,-38.2667,141.9667,75.4,57,92,17.27,overcast clouds,2022-02-26 05:19:34
30,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.49,99,100,2.19,overcast clouds,2022-02-26 05:25:36
31,Nome,US,64.5011,-165.4064,37.47,70,100,20.71,overcast clouds,2022-02-26 05:20:37
32,Hilo,US,19.7297,-155.09,74.93,83,75,5.75,light rain,2022-02-26 05:19:47
33,Vila Velha,BR,-20.3297,-40.2925,75.94,88,20,3.44,few clouds,2022-02-26 05:21:22
34,Esperance,AU,-33.8667,121.9,94.84,54,60,8.95,broken clouds,2022-02-26 05:20:01
35,Deli Tua,ID,3.5078,98.6839,78.51,89,75,9.22,light rain,2022-02-26 05:25:37
36,Bosaso,SO,11.2842,49.1816,76.98,83,40,0.0,scattered clouds,2022-02-26 05:25:37
37,Ojinaga,MX,29.5667,-104.4167,52.41,37,0,14.97,clear sky,2022-02-26 05:25:38
38,North Bend,US,43.4065,-124.2243,40.95,93,0,8.05,clear sky,2022-02-26 05:25:38
39,Rikitea,PF,-23.1203,-134.9692,79.97,71,6,9.8,clear sky,2022-02-26 05:19:33
40,Atuona,PF,-9.8,-139.0333,78.76,74,12,17.98,few clouds,2022-02-26 05:19:35
41,Nanortalik,GL,60.1432,-45.2371,9.37,88,100,39.24,light snow,2022-02-26 05:21:16
42,Kakching,IN,24.4833,93.9833,69.58,35,0,5.57,clear sky,2022-02-26 05:25:38
43,Hithadhoo,MV,-0.6,73.0833,83.3,72,18,10.25,few clouds,2022-02-26 05:19:40
44,Findochty,GB,57.6974,-2.901,48.9,80,100,14.0,overcast clouds,2022-02-26 05:25:39
45,Vaini,TO,-21.2,-175.2,84.36,84,75,10.36,broken clouds,2022-02-26 05:19:44
46,Machhlishahr,IN,25.6833,82.4167,75.15,32,0,7.25,clear sky,2022-02-26 05:25:39
47,Aklavik,CA,68.2191,-135.0107,-19.37,100,15,4.63,few clouds,2022-02-26 05:20:30
48,Hobart,AU,-42.8794,147.3294,72.23,63,75,10.36,broken clouds,2022-02-26 05:19:33
49,Hermanus,ZA,-34.4187,19.2345,66.9,92,0,8.41,clear sky,2022-02-26 05:17:08
50,Mount Gambier,AU,-37.8333,140.7667,79.56,47,7,12.91,clear sky,2022-02-26 05:22:25
51,Jamestown,US,42.097,-79.2353,21.09,65,100,8.05,mist,2022-02-26 05:14:48
52,Souillac,MU,-20.5167,57.5167,84.58,84,40,8.05,scattered clouds,2022-02-26 05:19:34
53,Faanui,PF,-16.4833,-151.75,82.02,73,15,16.28,few clouds,2022-02-26 05:21:54
54,Kutum,SD,14.2,24.6667,54.59,27,13,5.97,few clouds,2022-02-26 05:22:03
55,Puerto Ayora,EC,-0.7393,-90.3518,74.88,88,84,4.18,broken clouds,2022-02-26 05:20:48
56,Saldanha,ZA,-33.0117,17.9442,60.85,94,3,9.64,clear sky,2022-02-26 05:21:16
57,Santa Quiteria,BR,-4.3319,-40.1567,71.24,92,41,2.66,scattered clouds,2022-02-26 05:25:41
58,Norman Wells,CA,65.282,-126.8329,-16.56,76,20,5.75,few clouds,2022-02-26 05:19:56
59,Muravlenko,RU,63.7898,74.523,10.38,94,98,11.34,overcast clouds,2022-02-26 05:22:33
60,Tanete,ID,-3.9443,119.7848,88.57,55,98,8.57,overcast clouds,2022-02-26 05:25:41
61,Avarua,CK,-21.2078,-159.775,82.45,78,91,8.05,overcast clouds,2022-02-26 05:20:41
62,Ancud,CL,-41.8697,-73.8203,58.23,88,59,15.9,light rain,2022-02-26 05:16:51
63,Changji,CN,44.0167,87.3167,27.39,68,100,2.24,smoke,2022-02-26 05:19:59
64,Kapaa,US,22.0752,-159.319,76.98,76,20,13.8,few clouds,2022-02-26 05:20:05
65,Zhigansk,RU,66.7697,123.3711,-0.08,88,100,15.52,overcast clouds,2022-02-26 05:21:14
66,Dikson,RU,73.5069,80.5464,2.14,92,100,6.51,overcast clouds,2022-02-26 05:19:55
67,Luba,GQ,3.4568,8.5547,76.89,85,100,2.42,overcast clouds,2022-02-26 05:25:42
68,Yar-Sale,RU,66.8333,70.8333,11.44,92,56,9.51,broken clouds,2022-02-26 05:19:32
69,Ushuaia,AR,-54.8,-68.3,46.06,81,20,6.91,few clouds,2022-02-26 05:19:34
70,Castro,BR,-24.7911,-50.0119,65.82,90,97,3.6,overcast clouds,2022-02-26 05:19:40
71,San Clemente,US,33.427,-117.612,54.43,60,0,1.01,clear sky,2022-02-26 05:23:17
72,Lugo,ES,43.0,-7.5,36.23,100,0,2.53,clear sky,2022-02-26 05:25:43
73,Miramar,US,25.9873,-80.2323,76.01,79,40,9.22,scattered clouds,2022-02-26 05:25:43
74,East London,ZA,-33.0153,27.9116,68.94,88,75,3.44,broken clouds,2022-02-26 05:20:03
75,Ostrovnoy,RU,68.0531,39.5131,27.97,96,100,31.09,snow,2022-02-26 05:19:33
76,Ponta Do Sol,PT,32.6667,-17.1,60.06,81,52,8.72,broken clouds,2022-02-26 05:20:15
77,Husavik,IS,66.0449,-17.3389,37.31,72,19,19.39,few clouds,2022-02-26 05:19:50
78,New Norfolk,AU,-42.7826,147.0587,71.89,35,17,8.21,few clouds,2022-02-26 05:19:47
79,Nouadhibou,MR,20.931,-17.0347,62.58,88,0,16.11,clear sky,2022-02-26 05:25:44
80,Kurchum,KZ,48.5722,83.6542,14.18,88,99,3.06,overcast clouds,2022-02-26 05:25:44
81,Kloulklubed,PW,7.0419,134.2556,82.9,77,68,20.96,broken clouds,2022-02-26 05:21:33
82,Labuhan,ID,-6.8844,112.2051,84.54,68,55,7.23,moderate rain,2022-02-26 05:21:41
83,Saint-Philippe,RE,-21.3585,55.7679,83.79,84,90,9.55,overcast clouds,2022-02-26 05:20:16
84,Mahebourg,MU,-20.4081,57.7,84.49,84,40,8.05,scattered clouds,2022-02-26 05:21:09
85,Rocha,UY,-34.4833,-54.3333,61.54,64,0,6.87,clear sky,2022-02-26 05:19:39
86,Tougue,GN,11.4667,-11.6,76.44,31,94,2.93,overcast clouds,2022-02-26 05:25:45
87,Evensk,RU,61.95,159.2333,19.81,95,100,4.59,snow,2022-02-26 05:25:45
88,Abu Dhabi,AE,24.4667,54.3667,71.71,65,0,4.61,clear sky,2022-02-26 05:22:02
89,Lyubech,UA,51.7026,30.6569,30.06,94,62,5.53,broken clouds,2022-02-26 05:25:45
90,Ambulu,ID,-8.345,113.6058,83.84,74,29,4.14,scattered clouds,2022-02-26 05:20:12
91,Cockburn Town,TC,21.4612,-71.1419,77.23,76,1,17.45,clear sky,2022-02-26 05:22:17
92,Lompoc,US,34.6391,-120.4579,50.18,81,0,8.99,clear sky,2022-02-26 05:20:21
93,Mitu,CO,1.1983,-70.1733,71.8,99,100,0.16,overcast clouds,2022-02-26 05:24:56
94,Halifax,CA,44.6453,-63.5724,12.22,86,100,10.36,overcast clouds,2022-02-26 05:23:12
95,Puerto Escondido,MX,15.85,-97.0667,78.64,75,0,3.8,clear sky,2022-02-26 05:21:10
96,Tarakan,ID,3.3,117.6333,85.5,66,75,5.75,light rain,2022-02-26 05:20:27
97,Richards Bay,ZA,-28.783,32.0377,72.1,76,23,4.29,few clouds,2022-02-26 05:25:05
98,West Milford,US,41.1312,-74.3674,26.38,83,34,12.5,scattered clouds,2022-02-26 05:25:46
99,Naivasha,KE,-0.7167,36.4359,61.11,67,10,1.83,clear sky,2022-02-26 05:25:47
100,Santa Rosa,PH,14.3122,121.1114,89.58,66,99,16.28,overcast clouds,2022-02-26 05:21:13
101,Maniitsoq,GL,65.4167,-52.9,-12.46,90,100,2.3,overcast clouds,2022-02-26 05:25:47
102,Piran,SI,45.5278,13.5706,44.49,41,75,7.0,broken clouds,2022-02-26 05:25:48
103,Pandhana,IN,21.7,76.2167,83.62,17,4,1.36,clear sky,2022-02-26 05:25:48
104,Cairns,AU,-16.9167,145.7667,98.55,32,18,8.05,few clouds,2022-02-26 05:20:52
105,Barao De Melgaco,BR,-16.1944,-55.9675,77.52,92,42,0.85,scattered clouds,2022-02-26 05:25:49
106,Khatanga,RU,71.9667,102.5,-16.74,91,71,1.01,broken clouds,2022-02-26 05:20:23
107,Ust-Karsk,RU,52.7011,118.8077,22.93,60,5,6.89,clear sky,2022-02-26 05:25:49
108,Saint-Augustin,CA,51.226,-58.6502,-23.26,98,26,5.39,scattered clouds,2022-02-26 05:20:58
109,Teguldet,RU,57.3064,88.1667,23.94,89,100,8.93,overcast clouds,2022-02-26 05:25:50
110,Punta Arenas,CL,-53.15,-70.9167,46.51,81,40,13.8,scattered clouds,2022-02-26 05:19:29
111,Inongo,CD,-1.95,18.2667,72.73,91,71,7.02,broken clouds,2022-02-26 05:25:50
112,Launceston,AU,-41.45,147.1667,76.15,47,75,12.66,broken clouds,2022-02-26 05:25:50
113,Qasigiannguit,GL,68.8193,-51.1922,1.65,97,100,6.96,overcast clouds,2022-02-26 05:21:46
114,Sitka,US,57.0531,-135.33,42.69,61,100,17.27,light rain,2022-02-26 05:20:23
115,Yurimaguas,PE,-5.9,-76.0833,71.78,97,75,0.94,broken clouds,2022-02-26 05:24:03
116,Caravelas,BR,-17.7125,-39.2481,74.46,90,7,2.08,clear sky,2022-02-26 05:20:28
117,Trairi,BR,-3.2778,-39.2689,77.61,80,95,6.8,overcast clouds,2022-02-26 05:25:51
118,Nuuk,GL,64.1835,-51.7216,0.21,78,75,6.91,broken clouds,2022-02-26 05:20:56
119,Kolondieba,ML,11.0882,-6.8926,75.61,21,32,3.71,scattered clouds,2022-02-26 05:25:51
120,Nalut,LY,30.3333,10.85,51.78,29,68,6.85,broken clouds,2022-02-26 05:21:21
121,Paralimni,CY,35.0375,33.9833,56.43,87,5,1.01,clear sky,2022-02-26 05:25:52
122,Torbay,CA,47.6666,-52.7314,21.27,68,100,0.0,overcast clouds,2022-02-26 05:18:30
123,Jawhar,SO,2.7809,45.5005,79.32,73,96,12.46,overcast clouds,2022-02-26 05:25:52
124,Gat,IL,31.61,34.7642,54.39,100,73,9.8,broken clouds,2022-02-26 05:20:43
125,Mehran,IR,33.1222,46.1646,62.08,45,0,4.38,clear sky,2022-02-26 05:25:53
126,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,82,100,13.06,overcast clouds,2022-02-26 05:20:12
127,Horn Lake,US,34.9554,-90.0348,31.08,80,100,12.66,overcast clouds,2022-02-26 05:25:53
128,Vestmannaeyjar,IS,63.4427,-20.2734,39.6,63,100,36.66,light rain,2022-02-26 05:25:54
129,Te Anau,NZ,-45.4167,167.7167,60.76,41,32,7.02,scattered clouds,2022-02-26 05:19:47
130,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,71.51,97,33,2.33,scattered clouds,2022-02-26 05:25:54
131,Bandarbeyla,SO,9.4942,50.8122,77.92,69,83,8.55,broken clouds,2022-02-26 05:19:31
132,Kyaikto,MM,17.3,97.0167,91.78,22,2,3.0,clear sky,2022-02-26 05:25:54
133,Margate,GB,51.3813,1.3862,40.95,90,2,10.67,clear sky,2022-02-26 05:23:02
134,San Miguel,SV,13.4833,-88.1833,80.26,78,75,2.3,broken clouds,2022-02-26 05:25:55
135,Verkhoyansk,RU,67.5447,133.385,-1.23,89,100,7.09,overcast clouds,2022-02-26 05:22:08
136,Dingle,PH,10.9995,122.6711,85.55,57,100,18.79,overcast clouds,2022-02-26 05:20:11
137,Kavieng,PG,-2.5744,150.7967,83.25,75,93,6.29,moderate rain,2022-02-26 05:19:42
138,Shizunai,JP,42.3339,142.3669,38.28,82,56,12.88,broken clouds,2022-02-26 05:25:55
139,Miechow,PL,50.3565,20.0279,34.59,75,12,4.5,few clouds,2022-02-26 05:25:56
140,Saint George,US,37.1041,-113.5841,37.63,41,0,5.99,clear sky,2022-02-26 05:17:20
141,Batemans Bay,AU,-35.7167,150.1833,68.92,97,100,5.91,light rain,2022-02-26 05:25:56
142,Saskylakh,RU,71.9167,114.0833,-14.04,96,46,4.61,scattered clouds,2022-02-26 05:20:43
143,Lillehammer,NO,61.1146,10.4674,8.01,91,12,3.83,few clouds,2022-02-26 05:25:57
144,Kiama,AU,-34.6833,150.8667,71.58,90,100,3.0,moderate rain,2022-02-26 05:25:57
145,Isangel,VU,-19.55,169.2667,82.51,83,100,0.0,overcast clouds,2022-02-26 05:20:48
146,Lufilufi,WS,-13.8745,-171.5986,78.58,90,100,16.02,light rain,2022-02-26 05:25:58
147,Buchanan,LR,5.8808,-10.0467,76.96,91,34,6.17,light rain,2022-02-26 05:25:58
148,Veraval,IN,20.9,70.3667,77.31,42,41,8.77,scattered clouds,2022-02-26 05:25:58
149,Mandal,IN,25.45,74.5667,77.52,18,44,4.21,scattered clouds,2022-02-26 05:25:58
150,Yellowknife,CA,62.456,-114.3525,-8.88,77,0,8.05,clear sky,2022-02-26 05:18:29
151,Haines Junction,CA,60.7522,-137.5108,33.75,64,100,8.05,overcast clouds,2022-02-26 05:20:02
152,Broome,US,42.2506,-75.833,18.37,79,100,8.05,overcast clouds,2022-02-26 05:19:38
153,Yevlax,AZ,40.6089,47.1492,44.82,93,100,3.44,mist,2022-02-26 05:25:59
154,Ingham,US,42.6,-84.3833,21.99,78,0,0.0,clear sky,2022-02-26 05:26:00
155,Constitucion,CL,-35.3333,-72.4167,57.25,84,0,3.98,clear sky,2022-02-26 05:20:21
156,Karoi,ZW,-16.8099,29.6925,63.79,91,66,2.77,broken clouds,2022-02-26 05:26:00
157,Nikolskoye,RU,59.7035,30.7861,33.69,91,95,9.8,overcast clouds,2022-02-26 05:20:25
158,Alice Springs,AU,-23.7,133.8833,96.22,43,40,12.66,scattered clouds,2022-02-26 05:21:50
159,Samana,DO,19.2056,-69.3369,72.25,83,6,6.46,clear sky,2022-02-26 05:26:01
160,Miandrivazo,MG,-19.5167,45.4667,78.93,83,99,2.39,overcast clouds,2022-02-26 05:26:01
161,Carnarvon,AU,-24.8667,113.6333,86.07,62,26,19.57,scattered clouds,2022-02-26 05:20:28
162,Akyab,MM,20.15,92.9,83.05,40,0,8.08,clear sky,2022-02-26 05:26:01
163,La Ronge,CA,55.1001,-105.2842,25.05,63,75,13.8,broken clouds,2022-02-26 05:26:02
164,Dunedin,NZ,-45.8742,170.5036,53.8,59,46,15.01,scattered clouds,2022-02-26 05:26:02
165,Ixtapa,MX,20.7,-105.2,70.23,90,3,2.44,clear sky,2022-02-26 05:26:02
166,Clyde River,CA,70.4692,-68.5914,-1.97,78,100,29.93,snow,2022-02-26 05:20:13
167,Guerrero Negro,MX,27.9769,-114.0611,58.64,55,68,12.39,broken clouds,2022-02-26 05:19:30
168,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,72.37,100,99,1.59,light rain,2022-02-26 05:26:03
169,Lagoa,PT,39.05,-27.9833,59.77,90,91,24.38,overcast clouds,2022-02-26 05:19:42
170,Port Saint Lucie,US,27.2939,-80.3503,74.98,74,0,5.75,clear sky,2022-02-26 05:23:31
171,Westonaria,ZA,-26.3191,27.6486,61.09,64,94,5.19,overcast clouds,2022-02-26 05:26:03
172,Cidreira,BR,-30.1811,-50.2056,74.53,94,36,6.35,scattered clouds,2022-02-26 05:22:34
173,Khanu Woralaksaburi,TH,16.0617,99.8606,91.83,28,35,3.0,scattered clouds,2022-02-26 05:26:04
174,Tura,IN,25.5198,90.2201,77.95,44,2,3.18,clear sky,2022-02-26 05:22:23
175,Tadine,NC,-21.55,167.8833,76.96,85,100,11.45,overcast clouds,2022-02-26 05:26:04
176,Narsaq,GL,60.9167,-46.05,12.42,96,100,2.24,light snow,2022-02-26 05:19:56
177,Kruisfontein,ZA,-34.0033,24.7314,67.89,87,6,2.55,clear sky,2022-02-26 05:19:34
178,Ribeira Grande,PT,38.5167,-28.7,61.16,89,94,18.48,overcast clouds,2022-02-26 05:20:01
179,Zelenoborsk,RU,61.4669,64.0333,21.27,86,44,8.97,scattered clouds,2022-02-26 05:26:04
180,Barrow,US,71.2906,-156.7887,3.22,78,100,35.68,overcast clouds,2022-02-26 05:17:21
181,Namibe,AO,-15.1961,12.1522,76.41,81,91,6.02,overcast clouds,2022-02-26 05:20:44
182,Baykit,RU,61.67,96.37,21.29,91,100,1.92,overcast clouds,2022-02-26 05:20:34
183,Manzhouli,CN,49.6,117.4333,14.38,82,31,13.27,scattered clouds,2022-02-26 05:26:05
184,Mazatlan,MX,23.2167,-106.4167,65.91,87,0,3.0,clear sky,2022-02-26 05:21:31
185,Hirara,JP,24.8,125.2833,75.06,60,40,19.57,scattered clouds,2022-02-26 05:26:06
186,Tiksi,RU,71.6872,128.8694,-2.25,95,100,7.94,overcast clouds,2022-02-26 05:19:37
187,Kyzyl-Suu,KG,42.3414,78.0056,32.97,95,100,2.91,light snow,2022-02-26 05:26:06
188,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.96,92,11,1.81,few clouds,2022-02-26 05:26:06
189,Great Falls,US,47.5002,-111.3008,18.79,63,0,12.66,clear sky,2022-02-26 05:21:25
190,Bahia Blanca,AR,-38.7196,-62.2724,70.25,49,1,7.18,clear sky,2022-02-26 05:26:07
191,Ishigaki,JP,24.3448,124.1572,73.53,60,20,13.8,few clouds,2022-02-26 05:26:07
192,Auki,SB,-8.7676,160.7034,83.57,74,99,8.46,overcast clouds,2022-02-26 05:21:57
193,Lebu,CL,-37.6167,-73.65,59.4,95,42,8.95,scattered clouds,2022-02-26 05:16:13
194,Kokkola,FI,63.8385,23.1307,21.36,76,0,8.05,clear sky,2022-02-26 05:26:08
195,Namatanai,PG,-3.6667,152.4333,83.46,76,96,6.82,light rain,2022-02-26 05:21:54
196,Fortuna,US,40.5982,-124.1573,41.94,92,0,10.36,clear sky,2022-02-26 05:20:18
197,Gornopravdinsk,RU,60.05,69.9,19.15,93,61,8.32,broken clouds,2022-02-26 05:20:11
198,Butaritari,KI,3.0707,172.7902,82.04,77,21,17.31,few clouds,2022-02-26 05:20:07
199,Bonavista,CA,48.6499,-53.1147,20.12,61,99,11.23,overcast clouds,2022-02-26 05:21:27
200,Salalah,OM,17.0151,54.0924,72.57,60,5,1.81,clear sky,2022-02-26 05:21:38
201,Charters Towers,AU,-20.1,146.2667,98.28,20,20,6.26,few clouds,2022-02-26 05:26:08
202,Santiago,CL,-33.4569,-70.6483,70.99,44,0,6.91,clear sky,2022-02-26 05:26:09
203,Encs,HU,48.3333,21.1333,33.6,68,96,6.15,overcast clouds,2022-02-26 05:26:09
204,Moshenskoye,RU,58.5102,34.5911,30.99,95,100,11.52,light snow,2022-02-26 05:26:09
205,Znamenskoye,RU,57.1281,73.8282,18.77,92,88,6.8,overcast clouds,2022-02-26 05:26:10
206,Port Alfred,ZA,-33.5906,26.891,72.03,79,42,15.08,scattered clouds,2022-02-26 05:16:04
207,Coquimbo,CL,-29.9533,-71.3436,60.53,94,0,3.44,clear sky,2022-02-26 05:20:30
208,Belaya Gora,RU,68.5333,146.4167,-4.31,93,100,6.08,overcast clouds,2022-02-26 05:26:10
209,Itaituba,BR,-4.2761,-55.9836,72.64,99,92,1.43,light rain,2022-02-26 05:26:11
210,Garden City,US,42.3256,-83.331,24.98,75,100,5.75,overcast clouds,2022-02-26 05:21:15
211,Meulaboh,ID,4.1363,96.1285,78.21,82,100,2.24,overcast clouds,2022-02-26 05:21:21
212,Poum,NC,-20.2333,164.0167,76.89,90,100,26.8,overcast clouds,2022-02-26 05:21:20
213,Mnogovershinnyy,RU,53.9353,139.9242,14.14,66,35,4.03,scattered clouds,2022-02-26 05:26:13
214,Iqaluit,CA,63.7506,-68.5145,-18.67,69,100,13.8,overcast clouds,2022-02-26 05:22:21
215,Cabo San Lucas,MX,22.8909,-109.9124,69.51,73,78,1.99,broken clouds,2022-02-26 05:20:20
216,Swellendam,ZA,-34.0226,20.4417,62.98,85,9,2.24,clear sky,2022-02-26 05:24:34
217,Devils Lake,US,48.1128,-98.8651,3.18,80,0,11.5,clear sky,2022-02-26 05:26:14
218,Nemuro,JP,43.3236,145.575,37.83,77,16,15.79,few clouds,2022-02-26 05:20:59
219,Port Hedland,AU,-20.3167,118.5667,95.05,63,4,10.36,clear sky,2022-02-26 05:20:31
220,Klyuchi,RU,52.2667,79.1667,22.64,93,94,7.72,overcast clouds,2022-02-26 05:26:16
221,Lebanon,US,36.2081,-86.2911,33.58,82,100,8.05,overcast clouds,2022-02-26 05:26:16
222,Airai,TL,-8.9266,125.4092,66.13,84,100,5.77,overcast clouds,2022-02-26 05:19:36
223,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,50,75,4.47,broken clouds,2022-02-26 05:21:55
224,Chokurdakh,RU,70.6333,147.9167,-5.17,98,100,4.81,overcast clouds,2022-02-26 05:19:46
225,Skibotn,NO,69.3913,20.2679,24.89,96,75,10.11,broken clouds,2022-02-26 05:26:17
226,Yangshe,CN,31.8899,120.6052,58.64,45,2,11.43,clear sky,2022-02-26 05:26:18
227,Pevek,RU,69.7008,170.3133,-4.41,95,100,4.76,overcast clouds,2022-02-26 05:19:38
228,Beringovskiy,RU,63.05,179.3167,23.32,95,100,15.12,light snow,2022-02-26 05:19:41
229,Ugoofaaru,MV,5.6667,73.0,83.01,70,41,11.9,scattered clouds,2022-02-26 05:21:16
230,Verkhnevilyuysk,RU,63.4453,120.3167,0.45,87,100,8.28,overcast clouds,2022-02-26 05:26:20
231,Denpasar,ID,-8.65,115.2167,83.86,83,20,8.05,few clouds,2022-02-26 05:26:20
232,Sulecin,PL,52.4443,15.1168,39.07,86,88,6.46,overcast clouds,2022-02-26 05:26:20
